操作系统的概念,计算机系统资源,CONTAIN
操作系统的概念,操作系统的地位,CONTAIN
操作系统的概念,操作系统的定义,CONTAIN
操作系统的概念,操作系统的设计目标,CONTAIN
操作系统的发展历史与分类,操作系统的发展历史,CONTAIN
操作系统的发展历史与分类,操作系统分类,CONTAIN
操作系统的主要功能,处理机管理功能,CONTAIN
操作系统的主要功能,内存管理功能,CONTAIN
操作系统的主要功能,设备管理功能,CONTAIN
操作系统的主要功能,文件管理功能,CONTAIN
操作系统的主要功能,用户接口管理功能,CONTAIN
操作系统的主要特征,并发执行,CONTAIN
操作系统的主要特征,资源共享,CONTAIN
操作系统的主要特征,一切皆虚拟,CONTAIN
操作系统的主要特征,异步性,CONTAIN
操作系统的结构设计,无结构操作系统,CONTAIN
操作系统的结构设计,模块化结构操作系统,CONTAIN
操作系统的结构设计,分层式结构操作系统,CONTAIN
操作系统的结构设计,虚拟机结构操作系统,CONTAIN
操作系统的结构设计,微内核结构操作系统,CONTAIN
操作系统的运行环境,操作系统硬件运行环境,CONTAIN
操作系统的运行环境,操作系统与其他系统软件关系,CONTAIN
初识Linux操作系统,Linux概述,CONTAIN
初识Linux操作系统,Linux内核设计,CONTAIN
初识Linux操作系统,Linux启动和初始化过程,CONTAIN
初识Linux操作系统,Linux系统调用介绍,CONTAIN
进程的基本概念,程序执行过程,CONTAIN
进程的基本概念,进程的定义和特征 ,CONTAIN
进程的基本概念,进程状态和状态转换,CONTAIN
进程的基本概念,进程控制块及其组织方式,CONTAIN
进程控制,进程创建,CONTAIN
进程控制,进程执行与进程切换,CONTAIN
进程控制,进程阻塞与唤醒,CONTAIN
进程控制,进程挂起与激活,CONTAIN
进程控制,进程撤销,CONTAIN
线程,进程的局限性,CONTAIN
线程,线程及其属性,CONTAIN
线程,线程状态与控制,CONTAIN
线程,线程间同步和通信,CONTAIN
线程,线程的实现,CONTAIN
线程,多线程模型,CONTAIN
Linux进程管理概述,Linux中的进程及其进程控制块,CONTAIN
Linux进程管理概述,Linux中的进程控制,CONTAIN
Linux进程管理概述,Linux中的线程,CONTAIN
进程同步和互斥,进程同步和互斥的基本概念,CONTAIN
进程同步和互斥,信号量机制,CONTAIN
进程同步和互斥,利用信号量解决互斥问题,CONTAIN
进程同步和互斥,利用信号量解决同步问题,CONTAIN
典型进程同步问题详解,生产者-消费者问题,CONTAIN
典型进程同步问题详解,哲学家就餐问题,CONTAIN
典型进程同步问题详解,读者写者问题,CONTAIN
管程机制,为何引入管程,CONTAIN
管程机制,管程的定义,CONTAIN
管程机制,条件变量,CONTAIN
管程机制,管程解决生产者-消费者问题,CONTAIN
进程通信,高级通信分类,CONTAIN
进程通信,消息传递系统,CONTAIN
Linux进程通信概述,管道,CONTAIN
Linux进程通信概述,信号量机制,CONTAIN
Linux进程通信概述,消息队列,CONTAIN
Linux进程通信概述,信号量,CONTAIN
Linux进程通信概述,共享内存,CONTAIN
三级调度体系,高级调度,CONTAIN
三级调度体系,中级调度,CONTAIN
三级调度体系,低级调度,CONTAIN
三级调度体系,三级调度关系,CONTAIN
进程调度目标和调度方式,进程调度目标,CONTAIN
进程调度目标和调度方式,进程调度方式,CONTAIN
调度算法的评价准则,面向用户的评价准则,CONTAIN
调度算法的评价准则,面相系统的评价准则,CONTAIN
典型进程调度算法,先来先服务调度算法,CONTAIN
典型进程调度算法,短作业优先调度算法,CONTAIN
典型进程调度算法,最短剩余时间优先调度算法,CONTAIN
典型进程调度算法,时间片轮转调度算法,CONTAIN
典型进程调度算法,优先级调度算法,CONTAIN
典型进程调度算法,高响应比优先调度算法,CONTAIN
典型进程调度算法,多级反馈队列调度算法,CONTAIN
线程调度算法,用户级线程调度,CONTAIN
线程调度算法,核心机线程调度,CONTAIN
实时调度算法,实时调度目标和所需必要信息,CONTAIN
实时调度算法,抢占调度和快速切换机制,CONTAIN
实时调度算法,典型实时调度算法,CONTAIN
死锁的基本概念和产生原因,死锁的基本条件,CONTAIN
死锁的基本概念和产生原因,产生死锁的原因,CONTAIN
死锁的处理,死锁的处理方法,CONTAIN
死锁的处理,资源分配图,CONTAIN
死锁的静态预防,破坏互斥条件,CONTAIN
死锁的静态预防,破坏请求和保持条件,CONTAIN
死锁的静态预防,破坏不剥夺条件,CONTAIN
死锁的静态预防,破坏环路等待条件,CONTAIN
死锁的动态避免,系统安全状态,CONTAIN
死锁的动态避免,银行家算法,CONTAIN
死锁的检测和解除,等待图检测死锁,CONTAIN
死锁的检测和解除,多体资源类死锁检测算法,CONTAIN
死锁的检测和解除,死锁解除方法,CONTAIN
死锁的检测和解除,鸵鸟算法,CONTAIN
内存管理概述,存储器的层次结构,CONTAIN
内存管理概述,内存管理功能,CONTAIN
内存管理概述,内存管理目标,CONTAIN
程序的链接和装入,几个基本概念,CONTAIN
程序的链接和装入,程序的链接,CONTAIN
程序的链接和装入,程序的装入,CONTAIN
连续分配方式,单一连续分配,CONTAIN
连续分配方式,固定分区分配,CONTAIN
连续分配方式,可变分区分配,CONTAIN
连续分配方式,动态可重定位分区分配,CONTAIN
基本分页存储管理方式,基本概念,CONTAIN
基本分页存储管理方式,基本分页管理的地址变换机构,CONTAIN
基本分页存储管理方式,多级页表,CONTAIN
基本分页存储管理方式,页面的共享与保护,CONTAIN
基本分页存储管理方式,基本分页存储管理优缺点,CONTAIN
基本分段存储管理方式,分段存储管理的引入,CONTAIN
基本分段存储管理方式,基本分段管理的地址结构,CONTAIN
基本分段存储管理方式,基本分段管理的地址变换机构,CONTAIN
基本分段存储管理方式,分段共享与保护,CONTAIN
基本分段存储管理方式,基本分段存储管理优缺点,CONTAIN
基本分段存储管理方式,分页和分段的主要区别,CONTAIN
基本段页式存储管理方式,基本原理与地址变换机构,CONTAIN
基本段页式存储管理方式,Intel 80376段页式存储管理机制,CONTAIN
覆盖与交换技术,覆盖技术,CONTAIN
覆盖与交换技术,交换技术,CONTAIN
虚拟存储管理,程序局部性原理,CONTAIN
虚拟存储管理,虚拟存储器及其特征,CONTAIN
请求分页存储管理方式,请求分页中的硬件支持,CONTAIN
请求分页存储管理方式,请求分页中的软件支持,CONTAIN
请求分页存储管理方式,页面置换算法,CONTAIN
请求分页存储管理方式,页面调度性质,CONTAIN
请求分页存储管理方式,影响缺页率因素,CONTAIN
请求分页存储管理方式,Belady现象,CONTAIN
请求分页存储管理方式,请求分页存储管理优缺点,CONTAIN
请求分段存储管理方式,基本概念,CONTAIN
请求分段存储管理方式,请求分段存储管理优缺点,CONTAIN
Linux存储管理概述,Linux虚拟内存管理,CONTAIN
Linux存储管理概述,Linux物理内存管理,CONTAIN
Linux存储管理概述,页面缓存与Swap交换空间,CONTAIN
I/O设备管理概述,I/O设备的分类,CONTAIN
I/O设备管理概述,I/O设备的差异性,CONTAIN
I/O设备管理概述,I/O设备管理的任务和功能,CONTAIN
I/O系统,I/O系统结构,CONTAIN
I/O系统,设备控制器,CONTAIN
I/O系统,I/O控制方式,CONTAIN
I/O软件,I/O软件的设计目标,CONTAIN
I/O软件,I/O软件层次,CONTAIN
I/O软件,I/O中断的执行流程,CONTAIN
设备分配与回收,设备管理中的数据结构,CONTAIN
设备分配与回收,设备分配与回收,CONTAIN
设备分配与回收,SPOOLing系统,CONTAIN
缓冲管理,缓冲的引入,CONTAIN
缓冲管理,单缓存,CONTAIN
缓冲管理,双缓存,CONTAIN
缓冲管理,循环缓存,CONTAIN
缓冲管理,缓冲池,CONTAIN
磁盘存储器管理,磁盘及其访问,CONTAIN
磁盘存储器管理,磁盘调度算法,CONTAIN
磁盘存储器管理,磁盘高速缓冲,CONTAIN
I/O控制,I/O控制的引入,CONTAIN
I/O控制,I/O控制的功能,CONTAIN
I/O控制,I/O控制的实现,CONTAIN
Linux设备管理,Linux设备管理概述,CONTAIN
Linux设备管理,Linux设备管理中的数据结构,CONTAIN
Linux设备管理,Linux的设备文件,CONTAIN
Linux设备管理,Linux的设备驱动程序,CONTAIN
文件的基本概念,文件的概念,CONTAIN
文件的基本概念,文件属性及其分类,CONTAIN
文件系统,文件系统的概念,CONTAIN
文件系统,文件系统的组成,CONTAIN
文件结构,文件逻辑结构,CONTAIN
文件结构,文件物理结构,CONTAIN
文件目录和目录查询,文件目录的概念,CONTAIN
文件目录和目录查询,文件目录结构,CONTAIN
文件目录和目录查询,目录查询技术,CONTAIN
文件存储空间管理,文件存储空间划分,CONTAIN
文件存储空间管理,文件存储空间的分配技术,CONTAIN
文件存储空间管理,空闲文件存储器空间管理方法,CONTAIN
文件的共享与保护,文件共享,CONTAIN
文件的共享与保护,文件保护,CONTAIN
文件系统的可靠性,文件的可靠性,CONTAIN
文件系统的可靠性,文件的保密性,CONTAIN
Linux文件管理,Linux虚拟文件系统,CONTAIN
Linux文件管理,文件系统的安装与拆卸,CONTAIN
Linux文件管理,Linux常见文件系统调用,CONTAIN
